CustomerID,CustomerName,ContactNumber,Email,Address,City,State,ZipCode,Country,DateOfBirth,Gender,RegistrationDate
1,David Cummings,+1-919-798-1826x3741,morgangreen@gonzales.com,"39026 Ana Junctions
Masseyport, UT 40635",Tamaramouth,Michigan,15785,Gibraltar,1973-04-07,M,2022-09-17
2,Sean Wright,+1-876-227-4144x509,julie13@gmail.com,"436 Daniel Glens
New Tammyland, TX 61705",East Williamfort,New Jersey,58568,Nauru,1967-08-26,M,2022-03-06
3,Tricia Goodman,604-247-4781,jonathanross@reed-nunez.com,"738 Colleen Extensions
East Kendra, IA 98405",North Margaret,New Hampshire,22793,Mauritius,1960-02-18,M,2022-04-22
4,Robert Owens,954.488.1483,jarviscarolyn@gmail.com,"240 Silva Highway Apt. 148
Juliemouth, OR 46280",Hudsonview,Alabama,56678,Dominica,1934-07-23,F,2024-01-25
5,William West,+1-670-351-7604,campbelltravis@gonzalez.com,"47880 Madeline Way Apt. 984
Gregorybury, PA 82990",North Norman,Washington,16093,Korea,1945-04-16,F,2023-10-14
6,Dillon Collins,6730179323,austinvaughn@gmail.com,"763 Willie Brooks Suite 212
North Davidmouth, NY 93708",East Tyler,Ohio,71314,Saint Barthelemy,2004-03-24,F,2022-06-05
7,Christopher Flores,6915538190,alexander26@jones-hood.com,"017 Anna Alley
West Michaelland, MI 76844",Port Betty,Arizona,88897,Serbia,1955-11-08,M,2022-11-01
8,Amy Goodman,+1-746-218-4579,arroyopatrick@montgomery.com,"4976 Maria Motorway
Huangberg, KS 57230",Melanieside,Illinois,17812,Iraq,1978-04-06,M,2024-01-03
9,Christopher Robinson,+1-827-249-6244x34468,taraconrad@garcia.com,"05244 Griffin Brooks
Houstonfurt, OH 85186",Frederickside,Massachusetts,67362,Pitcairn Islands,1990-07-01,F,2024-03-10
10,Dr. Jacqueline Stevenson,(147)720-4759x6287,mosstina@skinner.com,"4989 Nicole Shore Suite 993
West Susan, IN 24834",Moorebury,Illinois,08320,Lebanon,1972-11-11,M,2020-05-08
11,Bradley Chapman,(868)728-1464,butlershannon@dillon-cervantes.net,"5334 Scott Island Apt. 081
Brianshire, CT 09562",South Kellybury,Alabama,16064,Maldives,1974-07-27,M,2024-06-08
12,Elizabeth Hunt,+1-527-561-2688x976,yanderson@gmail.com,"5095 Lopez Valleys
Port Jennifer, SD 09306",East Keith,Washington,45503,Greenland,1937-01-11,F,2020-12-31
13,Darryl Atkinson,001-678-147-3390x34166,zimmermanpeggy@contreras-maldonado.com,"927 Mcintyre Rapid
East Dennis, OK 32786",Cochranshire,Oregon,20394,Sierra Leone,1962-09-25,F,2023-02-07
14,Larry Johnston,+1-350-371-2487,rwelch@hotmail.com,"205 Maria Turnpike Apt. 814
West Katherineville, MD 42581",Wilsonfort,Massachusetts,65037,Gambia,1997-06-06,M,2021-01-04
