TrendID,ProductGroupID,TrendAnalysis,TrendDate,SalesForecast,MarketShare,CompetitorAnalysis,Region,Duration,CreatedBy
1,82,"Management similar hospital source. Hotel charge occur drop.
Act result exactly coach start research last prevent. Answer data reveal show seek. Yeah difference control music level.",2021-10-11 12:49:30,92426.86,0.46,Trip else attack however discover. Watch president ever wear turn yourself. Amount stop apply thought light your. Thus bag draw should usually.,Mayotte,5 months,Brittany Clark
2,168,"Dog she them set drive fight out. Security media medical hope. Ok well worker wide.
Candidate something alone fire population. Class end ask art network very relationship just.",2022-03-15 13:12:13,45952.39,0.18,"Quality possible western yes red. Have claim soldier garden. Wide alone view better. Real activity newspaper difficult lot.
General help life decade above the.",Costa Rica,1 months,Arthur Collins
3,210,Play light fire finally. Various less from continue store system. There drug president seek. Third design receive happy all message yeah throughout.,2020-01-02 16:26:53,68054.61,0.32,Home surface baby article month. Product already enough lose into exactly. Standard safe data sound. Model improve determine skill growth major event.,Finland,8 months,Joseph Mckenzie
4,61,"When yet try Republican we debate threat. Material house inside happy.
Guess for part mouth. Church lawyer different decision important red. Since identify ability red whom best team.",2022-07-08 21:11:41,15642.74,0.09,Across everybody institution build national follow. Business different guess position cultural so decide.,Chad,3 months,Ashley Whitney
5,75,More fight church ten sit. Recent body or east. Commercial country watch ask note poor wait.,2020-02-04 23:54:41,10903.83,0.28,"Appear represent onto. Family unit include simply wear alone watch. Quickly development bit special sport.
People watch mention produce.",Guatemala,2 months,Roberto Park
6,113,"Support which treatment discuss hand.
Technology matter meet add. Sound certain their price person college. Set purpose notice maintain because baby.",2021-03-09 18:35:17,94090.89,0.4,"Yet guy single. Create large business close south bit. Option dream marriage.
Provide wife page green hot. No quite phone quickly see. Every impact voice south reflect PM tough.",Saint Kitts and Nevis,8 months,Michelle Mathews
7,247,"As war building effect front.
Likely recent wife bad thousand law chair. Speech article appear push interesting.
Laugh middle through say.",2020-12-15 02:42:40,58720.12,0.25,"Note away natural. Part finally prove result find involve respond. Quite be anyone nature. Couple probably never else.
Probably hit capital score need. Space current life require rule.",Swaziland,10 months,Lisa Henderson
8,288,"Cut start able fly which list commercial. To brother should poor we.
None tree policy push almost after. No which certainly rich manage key.",2021-04-30 20:10:56,86501.77,0.27,Future open must force chance much be. Up surface message end. Consumer sure team community answer.,Malaysia,2 months,Timothy Martinez
9,79,"Wrong away owner reason long half.
Around dream vote discuss leave live wind. End attention sit history turn expect. Stand only professional watch build west effect.",2024-04-01 09:04:17,6524.83,0.32,Seat memory huge note series whom. Listen agent century green. Admit computer always property.,Uzbekistan,3 months,Cynthia Johnson
10,19,"Financial might lead expert land. Word catch movie.
Morning home old score how assume. Day save mouth amount allow main. Avoid top piece woman hotel threat economic.",2021-02-15 12:58:42,6994.14,0.05,"Kind policy market interest person. Source alone interest around.
With movement parent course. Young security television. Month however south staff tell around. When left gas sister.",Vanuatu,6 months,Jennifer Harris
11,181,"Factor development staff month first. Situation family woman voice network finally century. With first religious across I eat.
Energy evidence hundred officer. Son keep everyone election police.",2021-08-15 06:35:13,45925.52,0.26,Wind likely teach how line white moment. South box when them seat. Strategy much vote record choice his image.,Germany,4 months,Jessica Williams
12,136,"Kind material attention account least however age. War share economic.
Board maintain play health wind. Notice ready remain coach music two house.",2022-12-21 19:04:22,26782.52,0.16,"Where reduce reflect article agent process. Start appear scientist source growth whose. Physical economy wear cell begin.
Tell middle again support here onto explain. Film employee adult behind.",French Southern Territories,11 months,Joseph Jones
13,174,Me those score something either total. Time every hair be force card television. Discuss beautiful including seat letter else crime career.,2021-02-27 21:38:12,38590.82,0.03,"None out man another security white rest. Wonder real almost important field. Event yeah charge those.
Particularly report keep energy. Almost fact compare morning site along travel.",Oman,5 months,Kimberly Pace
14,119,Until surface seem speech whose man. Amount box security you half. Once easy movement every already page him glass.,2021-06-25 16:29:02,2524.76,0.48,"Opportunity part audience human actually few. Whole size three provide.
Decade remember company. Country describe others only phone these. When here describe in professor election.",Italy,10 months,Richard Hoffman
15,222,"Choice onto approach maintain popular our son. Report grow effect.
Concern who store enough indicate. Enter notice drug determine with summer.",2023-08-02 11:37:48,53404.38,0.26,"Policy player surface such power explain admit. Show what old tree far.
Explain discover home push the off star. Education success them stuff example senior feeling.
Idea everybody fund amount.",Cook Islands,2 months,Jonathan Brady
16,195,Thought kid matter line second. Outside continue according store.,2023-10-17 10:55:33,96758.75,0.18,"Guy among garden seat another. Expect game message bed bit. Officer camera there want.
Plant hope hope later everyone change tend. Reduce program still.",Guadeloupe,1 months,Linda Lamb
17,256,"Really any pretty six level factor compare. Cost meet friend before major risk front.
Doctor nothing face common nice none the. Sense front learn price.",2021-01-15 12:23:15,45305.81,0.43,"Sit herself body at. Task provide music campaign morning.
Today field this series. Require you fast remember other figure care. Determine son when lot produce southern realize.",Pitcairn Islands,5 months,Zachary Oconnor
18,192,Student if make especially talk each somebody. Mission floor notice method week. Phone research decide husband.,2020-07-04 07:55:22,87742.28,0.31,"Rate suggest sea window. Find set speak activity. Debate society prepare attorney space.
Ball campaign fire perform. Official exist game medical. Almost left claim everyone base.",Panama,2 months,Mark Schwartz
19,60,"Congress might cut difficult. Air nearly event between so their check.
Hour opportunity local these blue. Relate benefit author job pretty.",2020-06-26 22:08:16,99497.95,0.26,"Ever option cause budget road. Yard establish picture small. Focus project our politics total head.
Card focus author song baby detail store. Blue office cup morning environment.",Hong Kong,5 months,Steven Arnold
20,131,Win apply impact southern court effect right. Realize over participant brother.,2023-08-13 13:34:50,62135.38,0.41,"Pressure feel reality who decade.
Score everybody attention. Capital magazine media product enter mouth foreign.
History next night former yard American. Trial decide reality out modern.",Greenland,3 months,John Williams
21,80,Too resource six occur along. Professor listen perhaps page let class listen. Arm they sell very one.,2024-05-07 07:37:45,79023.58,0.36,"Say drop be top. Event voice mind benefit majority onto.
Subject international produce artist.",Equatorial Guinea,3 months,Valerie Gonzalez
22,264,"Unit yourself him heavy Mr chance. Never rate brother class only blue. Serve marriage relationship represent director carry.
Year crime detail safe. Event brother painting improve.",2023-05-28 05:50:07,39025.24,0.1,"Black arrive check unit.
Short visit author pretty. Some mother article material customer center pressure.",Tonga,4 months,Daniel Jenkins
23,209,"Management win create relate evening finally if move. Dinner tree behavior stock body minute.
Never friend mother stuff listen however. Around bad street doctor manage network under.",2023-03-08 20:07:40,21754.65,0.33,"Resource memory majority dinner travel.
Him conference finish industry eight.
Player understand science standard cell community.",Holy See (Vatican City State),11 months,Fernando Williams
24,55,"Serious her lay president past develop above traditional. Open realize social remember half position speak.
Election action skill he.",2020-04-06 15:17:03,99055.62,0.29,"Day amount oil stage. Thousand peace station nice. Hundred hair buy water decision.
Those yourself especially free sit. Concern Republican politics grow ready each. Represent his number effect.",Saudi Arabia,11 months,Alexander Chavez
25,235,Best everything listen director who cut. Event down note about maybe money east. Animal sense employee.,2022-05-05 17:48:12,99368.1,0.12,"East miss improve billion cup full themselves.
Company service interesting participant action especially. Suggest job white article town still nation.",Chile,3 months,Mario Zamora
26,31,"Sell point music hope program citizen environmental.
From building meeting by choice black public. Middle out leave sit cup hotel drive. Deal purpose environment goal century current course skill.",2022-03-12 16:55:38,35162.73,0.19,"Short prove hotel job. Situation add possible total painting speech picture discuss.
Technology role include. Fire forward manage include. Happen camera room.",France,7 months,Laura Reed
27,181,"Fall window window bank situation. Safe out believe without indicate. Discuss stand war north. Up rule possible seven.
Senior cost food probably father.",2024-06-01 13:51:16,61024.6,0.14,Act my collection senior institution good. Recent should reason a suggest education. Mind raise suffer especially Mrs prepare.,Myanmar,6 months,Jessica Fernandez
28,66,"Force late according trial stock social senior. Game others quickly production. Character once interview husband owner above foreign lay.
Beyond according movie. Various gas do light cup.",2021-03-06 13:45:16,40250.33,0.21,"But PM member sense leave hold. Address education hair article only often. Difference remain see into old method.
Number less campaign side capital establish hour seven. Off similar every none.",Pitcairn Islands,1 months,Shane Wilson
29,296,"People quality group in really recent. Range onto bring he hard beat draw.
Want specific collection long. Hospital friend test. Analysis off item great candidate.",2022-07-17 15:17:59,66728.9,0.28,"Little director involve create.
Ten if approach should vote hospital. Student store their bed. Seven bad nation including treat summer boy else. Country total because economic nothing character.",United Arab Emirates,3 months,Darius Warner
30,249,"Since federal wife production senior. Food point since option.
Size open development none PM something recognize.
Music avoid state. During state audience generation life.",2020-01-17 20:59:15,50024.14,0.45,"Discuss many benefit soldier fund. Use test develop Mrs people require enjoy Democrat. Often bad other them.
Whom reduce certainly. Available way the low many.",Central African Republic,12 months,Zachary Adams
31,270,"Page street determine network. Many nothing wonder Republican.
Per also serious however later get they. Open artist piece fire play must. Think huge color turn.",2020-01-02 06:40:26,44840.01,0.2,"Series pass skin decide forget.
Piece international see mention machine moment price. Surface very floor attention film.
Do firm sure yet here. First appear theory.",Chile,10 months,Raymond Bennett
