SaleID,SaleDate,CustomerID,ProductID,Quantity,UnitPrice,TotalAmount,Discount,Tax,PaymentMethod,ShippingAddress,ShippingDate,DeliveryStatus
1,2023-01-29,742,199,2,438.35,6953.77,0.21,0.08,Debit Card,"824 Anna Mews Apt. 608
East Douglas, WY 54123",2022-07-29,Cancelled
2,2022-05-16,637,110,3,229.76,725.73,0.03,0.15,Debit Card,"USCGC Carson
FPO AE 60997",2023-06-10,Pending
3,2023-10-11,420,27,8,84.79,5019.64,0.09,0.04,Debit Card,"66484 Mary Well
Port Mary, GA 17610",2020-06-02,Delivered
4,2022-06-10,359,162,16,251.34,7185.82,0.13,0.13,Credit Card,"3649 Arthur Canyon Suite 244
South Judith, PA 28212",2022-07-05,Shipped
5,2021-03-21,588,177,16,361.8,2101.21,0.26,0.0,Cash,"8272 Ashley Island
Tyronefort, MN 60350",2022-12-16,Shipped
6,2021-03-31,256,23,19,424.88,5683.77,0.08,0.02,Credit Card,"4088 Hunt Squares Apt. 523
New Christopher, SD 59092",2023-07-31,Shipped
7,2021-09-18,707,93,4,329.17,6421.96,0.18,0.05,Debit Card,"Unit 7065 Box 0038
DPO AA 76075",2021-04-16,Pending
8,2022-02-06,95,172,13,412.24,279.12,0.22,0.14,Credit Card,"USNS Schultz
FPO AA 81087",2020-01-20,Shipped
9,2021-10-09,956,128,13,390.65,1027.81,0.19,0.04,Debit Card,"8908 Owen Junction Suite 095
Darleneport, WA 60595",2022-04-17,Cancelled
10,2022-09-09,908,195,18,298.72,9993.71,0.29,0.02,Cash,"6772 Smith Alley Apt. 403
Zacharyhaven, PA 76691",2023-02-25,Pending
11,2022-02-01,596,24,1,15.87,6011.65,0.0,0.08,Cash,"364 Joel Ports Apt. 545
Port Stevenborough, HI 77608",2023-06-15,Cancelled
12,2022-06-17,682,120,18,402.07,2740.57,0.14,0.07,Online Payment,"1998 Garza Ville
Wallaceland, LA 31114",2023-11-13,Shipped
